config_var_id;loinc_num;name;loinc_long_common_name
4;21112-8;Patient_Geburtsdatum;Geburtsdatum
5;76689-9;Patient_Geschlecht;Geschlecht, zugewiesen bei Geburt
6;29463-7;Patient_Gewicht;Körpergewicht
7;8302-2;Patient_Groesse;Körpergröße
9;49051-6;COPRA_Patient_Schwangerschaftswoche;Gestational age in weeks
11;9843-4;COPRA_Patient_Kopfumfang;Kopfumfang okzipital-frontal
14;8339-4;COPRA_Patient_Geburtsgewicht;Geburtsgewicht, gemessen
22;55128-3;Fall_Entlassung;Entlassanordnung
30;18776-5;Behandlung;Behandlungsplan - Notiz
100;11502-2;Laborwert;Laborbericht
670;80391-6;COPRA_Pflege_Fall;Pflegegrad [Typ]
1266;8867-4;HF;Herzfrequenz
1267;9279-1;AF;Atemfrequenz
1268;8865-8;Puls;Pulse intensity by palpation
1268;44974-4;Puls;Pulse intensity of Unspecified artery palpation
1269;60985-9;ZVD;Central venous pressure (CVP)
1270;8310-5;T_K;Körpertemperatur
1271;8310-5;T_K2;Körpertemperatur
1272;20564-1;SO2;Sauerstoffsättigung in Blut
1273;2708-6;SaO2;Sauerstoffsättigung in arteriellem Blut
1274;2711-0;SvO2;Sauerstoffsättigung in venösem Blut
1275;76533-9;NBP;Blood pressure by Noninvasive
1276;8462-4;ABP;Diastolischer Blutdruck
1276;8478-0;ABP;Mittlerer Blutdruck
1276;8480-6;ABP;Systolischer Blutdruck
1278;29548-5;Diagnose;Diagnose - Freitext
1278;29308-4;Diagnose;Diagnose
100037;49051-6;akt._Schwangerschaftwoche;Gestational age in weeks
100072;75919-1;CI;Left ventricular Cardiac index
100073;8837-7;SVRI;Systemic vascular Resistance index
100074;8831-0;SVR;Systemic vascular Resistance
100086;61017-0;CPP;Cerebral perfusion pressure
100088;60956-0;ICP;Intracranial pressure (ICP)
100093;8478-0;ABP_1;Mittlerer Blutdruck
100093;8462-4;ABP_1;Diastolischer Blutdruck
100093;8480-6;ABP_1;Systolischer Blutdruck
100096;75958-9;Beatmung_Messung_VTeMl;Tidal volume expired Respiratory system airway
100098;76009-0;Beatmung_Messung_MV;Inspired minute Volume during Mechanical ventilation
100100;71835-3;Beatmung_Messung_FiO2;Oxygen/Gas total [Pure volume fraction] Inhaled gas
100101;LP101940-7;Beatmung_Einstellung_VT;Tidal volume
100102;76248-4;Beatmung_Einstellung_PEEP;PEEP Respiratory system --on ventilator
100103;75931-6;Beatmung_Einstellung_I:E;Inspiration/Expiration time Ratio
100105;71835-3;Beatmung_Einstellung_FiO2;Oxygen/Gas total [Pure volume fraction] Inhaled gas
100111;76248-4;Beatmung_Anordnung_PEEP;PEEP Respiratory system --on ventilator
100112;75931-6;Beatmung_Anordnung_I:E;Inspiration/Expiration time Ratio
100113;76264-1;Beatmung_Anordnung_Flow;Inspiratory gas flow Respiratory system airway
100258;76248-4;Beatmung_Einstellung_intermPEEP;PEEP Respiratory system --on ventilator
100270;19839-0;Beatmung_Messung_AFSpontan;Breath rate spontaneous --on ventilator
100275;76248-4;Beatmung_Messung_PEEP;PEEP Respiratory system --on ventilator
100290;75931-6;Beatmung_Messung_InspirationszeitI:E;Inspiration/Expiration time Ratio
100300;76531-3;Beatmung_Messung_Pmax;Pressure.max Respiratory system airway --on ventilator
101322;29463-7;Patient_AufnGewicht;Körpergewicht
101423;33022-5;CO2;Kohlenstoffdioxid [Partialdruck] in Kapillarblut mit transkutanem CO2-Monitoring
101433;60826-5;Beatmung_Messung_Compliance;Lung compliance
