85680-7;Haemophilus influenzae ecs-Gen [Zyklusschwellenwert #] in Probenmaterial mit Nukleinsäureamplifikation mit Sondendetektion
42993-6;Mycoplasma pneumoniae Antikörper [Titer] in Zerebrospinalflüssigkeit
15528-3;Prunus dulcis Baum IgE-Antikörper-RAST-Klasse [Nachweis] in Serum
1362-3;Corticotropin [Masse/Volumen] in Plasma --30 Minuten nach 1 µg/kg CRH intravenös
47098-9;Chrom [Mol/Volumen] in Körperflüssigkeit
9761-8;Coxsackievirus B3 Antikörper [Titer] in Zerebrospinalflüssigkeit mit Komplementbindungsreaktion
6090-5;Populus deltoides IgE-Antikörper [Einheiten/Volumen] in Serum
96111-0;Linezolid [Empfindlichkeit] mit genotypischer Methode
23963-2;Brucella abortus IgG-Antikörper [Titer] in Zerebrospinalflüssigkeit
33682-6;Francisella tularensis [Nachweis] in Isolat mit Analyse der Zellwandfettsäuren
15894-9;Citrus sinensis IgE-Antikörper-RAST-Klasse [Nachweis] in Serum
17146-2;CD4+CD8+-Zellen/100 Zellen in Blut
33043-1;Ketone [Nachweis] in 24-Stunden-Urin
49082-1;Westliche-Pferdeenzephalomyelitis-Virus IgG- und IgM-Antikörper [Interpretation] in Serum
35300-3;GJB2-Gen-zielgerichtete Mutationsanalyse in Blut oder Gewebe, molekulargenetisch
96766-1;GISAID sequence accession-Nummer
33667-7;Prostataspezifisches Antigen.Protein-gebunden [Masse/Volumen] in Serum oder Plasma
1972-9;Bilirubin.gesamt [Masse/Volumen] in Amnionflüssigkeit
44457-0;Borrelia sp Antikörper [Einheiten/Volumen] in Serum
41204-9;Polistes spp IgE-Antikörper/Gesamt-IgE in Serum
95661-5;Barmah-Forest-Virus IgG-Antikörper [Nachweis] in Probenmaterial mit Immunoassay
1916-6;Aspartat-Aminotransferase/Alanin-Aminotransferase [Verhältnis der enzymatischen Aktivität] in Serum oder Plasma
18265-9;Paracetamol [Nachweis] in Körperflüssigkeit
423-4;Pyrazinamid [Empfindlichkeit] mit minimaler letaler Konzentration (MLK)
33681-8;Francisella tularensis [Nachweis] in Probenmaterial mit Analyse der Zellwandfettsäuren
43283-1;Myeloid-Zellen/100 Zellen in Gewebe
14048-3;Elastase.pankreatisch [Masse/Volumen] in Serum
