"52985-9;Leishmania IgG Titr Ser IF"
"31530-9;Neuronal Ab CSF-aCnc"
"56228-0;Codfish IgG4-mCnc"
"35009-0;Neuts Seg # Snv"
"14036-8;D microceras IgE Qn"
"15615-8;Mt Juniper IgE RAST Ql"
"230-3;Enoxacin Islt KB"
"10954-6;Pine Nut IgE Qn"
"9643-8;CK MM CFr SerPl"
"6474-1;Gram Stn Urth"
"39803-2;inFLIXimab SerPl-mCnc"
"39773-7;B2 Microglob/Creat Ur-sRto"
"29817-4;POWV IgG Ser Ql IF"
"24219-8;HPIV1 Ab sp1 Titr Ser CF"
"53822-3;Flomoxef Islt MIC"
"25224-7;Erythromycin 15 ug/mL Islt SlowMyco"
"55740-5;Cefotiam hexetil Islt Grad strip"
"134-7;cefTAZidime Islt KB"
"4623-5;Hgb S Bld Ql Elph Alk"
"22671-2;Phytanate SerPl-sCnc"
"94634-3;C burnet DNA Ct Spec Qn NAA+probe"
"30204-2;C trach Ab Ser Ql"
"14421-2;Bilirub Plr-mCnc"
"83102-4;IgE SerPl IA-aCnc"
"6963-3;Y enterocol Ab Titr Ser"
"6259-6;Chestnut IgE Qn"
"19635-2;Norpropoxyph Ur-mCnc"
"94426-4;DENV 1+2+3+4 3' UTR RNA CSF Ql NAA+probe"
"27820-0;Prot C Ag Act/Nor PPP IA"
"52983-4;Echinococcus IgG4 Ser IA-aCnc"
"38393-5;Legionella Plr Cult"
"17075-3;Lidocain Ur-mCnc"
"59040-6;Cancer Ag125 DiafP-aCnc"
"51519-7;LDH4 CFr CSF Elph"
"2379-6;GST RBC-cCnc"
"16911-0;Glucose sp8 p chal Ur Ql"
"27360-7;MBP Ab Ser-aCnc"
"5909-7;Bld Smear Interp"
"13976-6;B-Globulin MFr CSF Elph"
"5310-8;Rick SF Ab Ser Ql LA"
"24113-3;HBV core IgM SerPl Ql IA"
"61151-7;Albumin SerPl BCG-mCnc"
"30530-0;IF Ab Ser Ql"
"10720-1;Terbinafine Islt MIC"
"96308-2;Klebsiella sp DNA Bld Pos Ql NAA+non-prb"
"749-2;Myelocytes/leuk NFr Bld Manual"
"55651-4;cefTAZidime+Sulbactam Islt Grad strip"
"51587-4;Plasmodium Bld Ql Smear"
"26524-9;Promyelocytes/leuk NFr Bld"
"74535-6;N men sg X DNA Spec Ql NAA+probe"
"5575-6;Aluminum RBC-mCnc"
"31758-6;C albicans Ag Ser Ql"
"52761-4;PT PIVKA sensitive Act/Nor PPP"
"52751-5;aPTT-FS PPP"
"29509-7;B-OH-Butyr/Creat Ur-sRto"
"4175-6;Chlordiazep Dose"
"41998-6;Hexa-CP 24h Ur-mCnc"
"53349-7;T4 Free DBS-mCnc"
"13966-7;Cystine 24h Ur-sRate"
"30340-4;EBV VCA IgM Ser Ql"
"6038-4;Amer Beech IgE Qn"
"5133-4;Strep DNAse B Ser-aCnc"
"23602-6;S Enteritid Stl Ql Cult"
"5738-0;Strychnine SerPl-mCnc"
"11582-4;W bancr Ab Ser-aCnc"
"7940-0;LACV IgG Ser-aCnc"
"14524-3;RUBV Ag Throat Ql IF"
"17021-7;ICS Ab Ser IF-aCnc"
"6205-9;Peach IgE Qn"
"6592-0;YFV IgG Ser IA-aCnc"
"35447-2;HIV1 p31 Ab Sal Ql IB"
"15691-9;Egg Yolk IgE RAST Ql"
"73653-8;Apramycin Islt KB"
"56682-8;(Hcys)2/Creat 24h Ur-Rto"
"7492-2;MIA IgE Qn"
"86537-8;Hantavirus RNA Tiss Ql NAA+probe"
"52968-5;Gp B Strep Anal Ql Cult"
"47410-6;HHV6 DNA SerPl NAA+probe"
"47104-5;Doxepin Gast-sCnc"
"17747-7;Trimethoprim Ur-mCnc"
"12722-5;IGF BP1 SerPl-mCnc"
"24246-1;PV2 Ab sp2 Titr Ser"
"37425-6;Abn Prion Prot Brain Ql IA"
"88587-1;Legionella DNA Tiss NAA+probe"
"35791-3;Difloxacin Islt MIC"
"32156-2;Ca Carbonate MFr Stone"
"29265-6;Calcium Album cor SerPl-sCnc"
"17856-6;HbA1c MFr Bld HPLC"
"5612-7;Cadmium 24h Ur-mRate"
"18999-3;Troleandomycin Susc Islt"
"24125-7;Androgen FAI SerPl-sRto"
"15090-4;Porphyrins 24h Stl-sRate"
"20374-5;Ampicillin+Sulbac Islt SlowMyco"
"35061-1;Eosinophil # Prt"
"193-3;Clindamycin Islt MIC"
"57588-6;Aldost 15M p chal SerPl-mCnc"
"11251-6;Piroxicam SerPl-mCnc"
"31159-7;Heparin Anti Xa Fld.NB-aCnc"
"6728-0;Ltx Glv Ext IgE Qn"
"18387-1;DAM SerPl-mCnc"
"16031-7;Squid IgE RAST Ql"
"34148-7;B burgdor IgG+IgM Ser-aCnc"
"29254-0;Linezolid Islt MIC"
"86198-9;N men sg Y synF Ct Spec Qn NAA+probe"
"33329-4;WNV IgG Titr Ser"
"216-2;Demeclocycline Islt MLC"
"16835-1;E coli SXT Stl Cult"
"39602-8;Hmtr Epith IgE/IgE total %"
"15261-1;Weed Allerg Mix209 IgE Ql"
"31936-8;P jiroveci Ag Nose Ql"
"26737-7;Phosphoserine CSF-sCnc"
"25322-9;Arginine 24h Ur-sRate"
"41146-2;HHV8 IgG Ser Ql"
"39604-4;Mugwort IgE/IgE total %"
"85807-6;MuV Gentyp Spec"
"89040-0;RUBV Ab Ser Ql IF"
"49497-1;Platelet # Bld Est"
"30930-2;Zinc ?Tm Ur-mCnc"
"19208-8;SCC Ag SerPl-sCnc"
"13174-8;Interpretation CSF IFE-Imp"
"2481-0;Insulin Ab Ser Ql"
"47549-1;Adenosine deaminase RBC-cCnt"
"29579-0;Mycobacterial Susc Pnl Islt SlowMyco"
"48771-0;Kappa LC CSF-mCnc"
"25578-6;C peptide sp5 p chal SerPl-sCnc"
"7018-5;Gentamicin Synergy Islt MIC"
"15651-3;Coffee IgE RAST Ql"
