9271-8	10M Apgar Score
40809-6	11DC 1h p chal SerPl-mCnc
34204-8	11DC 24h Ur-sCnc
25315-3	11DC 24h Ur-sRate
56519-2	11DC 30M p chal SerPl-mCnc
56520-0	11DC 45M p chal SerPl-mCnc
55809-8	11DC Amn-mCnc
50071-0	11DC Amn-sCnc
40810-4	11DC BS SerPl-mCnc
45184-9	11DC/Cortis SerPl
34206-3	11DC/Creat Ur-sRto
53339-8	11DC DBS-sCnc
16295-8	11DC p chal SerPl-mCnc
1657-6	11DC SerPl-mCnc
14567-2	11DC SerPl-sCnc
50721-0	11DC sp1 p chal SerPl-mCnc
18351-7	11DC sp2 p chal SerPl-mCnc
50719-4	11DC sp4 p chal SerPl-mCnc
50717-8	11DC sp6 p chal SerPl-mCnc
34205-5	11DC Ur-sCnc
56611-7	11DOC 1.5h p chal SerPl-mCnc
40818-7	11DOC 24h Ur-sCnc
55808-0	11DOC 24h Ur-sRate
56613-3	11DOC 2.5h p chal SerPl-mCnc
56556-4	11DOC 30M p chal SerPl-mCnc
56555-6	11DOC BS SerPl-mCnc
53348-9	11DOC DBS-sCnc
16294-1	11DOC p chal SerPl-mCnc
25561-2	11DOC SerPl-sCnc
56605-9	11DOC sp4 p chal SerPl-mCnc
1658-4	11OH-Ad SerPl-mCnc
47086-4	11OH-Ad SerPl-sCnc
34207-1	11OH-Androst 24h Ur-sCnc
15003-7	11OH-Androst 24h Ur-sRate
34209-7	11OH-Androst/Creat Ur-sRto
34208-9	11OH-Androst Ur-sCnc
1649-3	1,25(OH)2D3 SerPl-mCnc
14566-4	1,25(OH)2D3 SerPl-sCnc
42176-8	1,3 beta glucan Ser-mCnc
31990-5	14-3-3 Ag CSF-aCnc
27072-8	14-3-3 Ag CSF IA-aCnc
36924-9	14-3-3 Ag CSF-mCnc
31989-7	14-3-3 Ag CSF Ql
24031-7	14-3-3 Ag CSF Ql IB
75880-5	14-3-3 eta Ag Ser IA-mCnc
91065-3	14-3-3 protein Tiss Ql NAA+probe
6766-0	17KS 24h Ur-mRate
25317-9	17KS 24h Ur-sCnc
14572-2	17KS 24h Ur-sRate
44281-4	17KS/Creat 24h Ur
34222-0	17KS Ur-sCnc
6866-8	17OHCS 24h Ur-mCnc
25852-5	17OHCS 24h Ur-sCnc
14568-0	17OHCS 24h Ur-sRate
26013-3	17OHCS 2D p chal 24h Ur-sRate
38472-7	17OHCS/Creat Ur
34219-6	17OHCS/Creat Ur-sRto
1665-9	17OHCS Plas-mCnc
34218-8	17OHCS Ur-sCnc
56614-1	17OHP 10M p chal SerPl-mCnc
56575-4	17OHP 15M p chal SerPl-mCnc
48341-2	17OHP 1h p chal SerPl-mCnc
32539-9	17OHP 1h p chal SerPl-sCnc
9616-4	17OHP 24h Ur-mRate
34220-4	17OHP 24h Ur-sCnc
14571-4	17OHP 24h Ur-sRate
32538-1	17OHP 2h p chal SerPl-sCnc
48340-4	17OHP 30M p chal SerPl-mCnc
40754-4	17OHP Amn-mCnc
69796-1	17OHP Amn-sCnc
27996-8	17OHP BS SerPl-mCnc
32288-3	17OHP BS SerPl-sCnc
34221-2	17OHP/Creat Ur-sRto
92726-9	17OHP DBS LC/MS/MS-mCnc
38473-5	17OHP DBS-mCnc
32854-2	17OHP DBS Ql
53340-6	17OHP DBS-sCnc
56522-6	17OH-Preg 30M p chal SerPl-mCnc
25316-1	17OH-Preg SerPl-sCnc
51676-5	17OH-Preg sp2 p chal SerPl-mCnc
51673-2	17OH-Preg sp5 p chal SerPl-mCnc
72490-6	17OHP Sal-sCnc
1668-3	17OHP SerPl-mCnc
14569-8	17OHP SerPl-sCnc
57533-2	17OHP sp10 p chal SerPl-mCnc
51680-7	17OHP sp1 p chal SerPl-mCnc
12716-7	17OHP sp2 p chal SerPl-mCnc
12717-5	17OHP sp3 p chal SerPl-mCnc
12718-3	17OHP sp4 p chal SerPl-mCnc
1670-9	17OHP Ur-mCnc
14570-6	17OHP Ur-sCnc
25853-3	1Me-hist 24h Ur-sCnc
25318-7	1Me-hist 24h Ur-sRate
