96766-1;117164;GISAID sequence accession-Nummer;P Doku nummer;63
18265-9;102107;Paracetamol Körperflüssigkeit;PatFluessigkeitRate;61
423-4;107861;Pyrazinamid minimaler letaler Konzentration (MLK);O2 Konzentration;90
423-4;107864;Pyrazinamid minimaler letaler Konzentration (MLK);Doku Atom O2 Konzentration;67
423-4;107867;Pyrazinamid minimaler letaler Konzentration (MLK);Atom O2 Konzentration;76
2595-7;102106;Magnesium Dialysat;Dialysatfluß;62
2595-7;102114;Magnesium Dialysat;Mess Dialysatfluß;71
2595-7;102631;Magnesium Dialysat;Mess Dialysatvolumen;63
2595-7;102665;Magnesium Dialysat;Mess Dialysekonzentrat;60
2595-7;102666;Magnesium Dialysat;Mess DialyseZeit;65
2595-7;102690;Magnesium Dialysat;Dialysatloesung;67
2595-7;102755;Magnesium Dialysat;Dialysat;100
2595-7;103042;Magnesium Dialysat;Dialysatlösung;65
2595-7;103043;Magnesium Dialysat;Dialysat;100
2595-7;103045;Magnesium Dialysat;BM25 Dialysat;76
2595-7;103123;Magnesium Dialysat;Dialysat;100
2595-7;103124;Magnesium Dialysat;BM25 Dialysat;76
2595-7;104913;Magnesium Dialysat;Dialyse Zeit;60
2595-7;104978;Magnesium Dialysat;CRRT Dialysat;76
2595-7;104999;Magnesium Dialysat;CRRT Dialysat;76
2595-7;107787;Magnesium Dialysat;Doku Aussehen Dialysat;62
2595-7;107790;Magnesium Dialysat;Doku Dialysat1;62
2595-7;107791;Magnesium Dialysat;Doku Dialysat2;62
56589-5;108510;Dehydroepiandrosteron (DHEA) Serum Plasma ,5 Stunden Stimulation;Atmung Stimulation;76
16723-9;108510;Dehydroepiandrosteron-Sulfat (DHEA-S) Serum Plasma . Probenmaterial Stimulation;Atmung Stimulation;76
25387-2;103069;Cyanid Serum Plasma;ADM Plasmavolumen;61
25387-2;103085;Cyanid Serum Plasma;ADM Plasmavolumen;61
8838-5;102624;Beobachtungszeitraum;Mess BehandlungsZeit;60
8838-5;103018;Beobachtungszeitraum;MS Behandlungszeit;63
12940-3;108510;Thyreotropin Serum Plasma Minuten Stimulation;Atmung Stimulation;76
