29265-6;102763;Calcium Album cor SerPl-sCnc;Calcium Lösung;70
13174-8;102529;Interpretation CSF IFE-Imp;I:E Inspiration;63
21112-8;103057;Birth date;Citratrate;60
21112-8;103061;Birth date;Citratrate;60
25700-6;102060;Interpretation SerPl IFE-Imp;Inspirationszeit I:E;62
25700-6;102529;Interpretation SerPl IFE-Imp;I:E Inspiration;60
57933-4;112020;Cheese Mold IgE/IgE total %;EEG - Total Power - Channel;64
57933-4;112021;Cheese Mold IgE/IgE total %;EEG - Total Power - Channel;64
4222-6;1278;Digoxin Dose;Diagnosen;67
49273-6;102529;Interpretation Fld IFE-Imp;I:E Inspiration;63
2020-6;103809;pCO2 BldC;transcutan pCO2;62
39595-4;112020;Halibut IgE/IgE total %;EEG - Total Power - Channel;60
39595-4;112021;Halibut IgE/IgE total %;EEG - Total Power - Channel;60
2022-2;103809;pCO2 CSF;transcutan pCO2;67
16519-1;102763;Calcium 10M p chal SerPl-sCnc;Calcium Lösung;70
38250-7;102763;Calcium Spec-mCnc;Calcium Lösung;70
32306-3;103809;pCO2 Ur;transcutan pCO2;73
57833-6;104403;Rx for medication;Prämedikation;69
3148-4;108508;pO2 Gas;transcutan pO2;60
57935-9;112020;Chocolate IgE/IgE total %;EEG - Total Power - Channel;62
57935-9;112021;Chocolate IgE/IgE total %;EEG - Total Power - Channel;62
57335-2;102763;Calcium 12h Ur-mCnc;Calcium Lösung;70
72408-8;106399;Gram Stn Anal;analog Geräten;69
39543-4;112020;Hazelnut IgE/IgE total %;EEG - Total Power - Channel;63
39543-4;112021;Hazelnut IgE/IgE total %;EEG - Total Power - Channel;63
2000-8;102763;Calcium SerPl-sCnc;Calcium Lösung;70
2000-8;103121;Calcium SerPl-sCnc;Calciumlösung;60
5810-7;112010;Sp Gr Ur Refractometry;Gewicht Refraktometer;60
96823-0;100270;Respiration Score SOFA;Respiratory Rate (spontan);61
96823-0;103081;Respiration Score SOFA;Exspirationserkennung - % Peak Flow;60
96823-0;103427;Respiration Score SOFA;Exspirationszeit;63
96823-0;104737;Respiration Score SOFA;Inspiratorisch Isofluran.;61
96823-0;107993;Respiration Score SOFA;Inspirationszeit max;62
2755-7;108716;pH Stl;Pset;60
49764-4;102763;Calcium Amn-mCnc;Calcium Lösung;70
8867-4;103054;Heart rate;Ca rate;73
8867-4;103057;Heart rate;Citratrate;60
8867-4;103061;Heart rate;Citratrate;60
39551-7;112020;Cow Dander IgE/IgE total %;EEG - Total Power - Channel;60
39551-7;112021;Cow Dander IgE/IgE total %;EEG - Total Power - Channel;60
34266-7;103122;Citrate Ur-sCnc;Citratlösung;62
80126-6;102763;Aluminum Fld-sCnc;Calcium Lösung;60
