2379-6;104785;GST RBC-cCnc;MS C2 RC;60
52761-4;100203;PT PIVKA sensitive Act/Nor PPP;PT;100
52761-4;100676;PT PIVKA sensitive Act/Nor PPP;PT;100
52751-5;103827;aPTT-FS PPP;MS EzPAP PAP;61
52751-5;107836;aPTT-FS PPP;MS Peep CPAP;61
29265-6;102721;Calcium Album cor SerPl-sCnc;Calcium;100
29265-6;102743;Calcium Album cor SerPl-sCnc;Calcium;100
29265-6;103054;Calcium Album cor SerPl-sCnc;Calcium;100
2481-0;108157;Insulin Ab Ser Ql;Insulin ja;82
2481-0;108158;Insulin Ab Ser Ql;Insulin nein;74
33817-8;108157;Insulin sp3 p chal SerPl-aCnc;Insulin ja;82
33817-8;108158;Insulin sp3 p chal SerPl-aCnc;Insulin nein;74
3141-9;117218;Weight Measured;G5 Body Weight;60
33863-2;104235;Cystatin C SerPl-mCnc;MS Servoi Cstatic;63
33863-2;104784;Cystatin C SerPl-mCnc;MS C2 Cstat;62
33863-2;108036;Cystatin C SerPl-mCnc;P MS C3 Cstat;65
8069-7;104259;Epidis Ab Titr Ser;Servoi EDI Trigger;61
22441-0;107934;P falciparum Ab Titr Ser;P ADS MS ADS Calcium postFilter;67
22441-0;107935;P falciparum Ab Titr Ser;P ADS MS ADS Calcium preFilter;64
19224-5;1273;SaO2 % BldMV;SaO2;100
19224-5;117154;SaO2 % BldMV;SpO2 l;62
21112-8;103265;Birth date;MS BreathRate;61
21112-8;104781;Birth date;AT Air;62
10898-5;110915;EEEV IgM Titr Ser IF;MS Servoi I E;61
18900-1;104733;Cephalothin Susc Islt;MS Halothan insp;65
24446-7;110860;PBG Ur-mCnc;P RTX Min;60
9513-3;104245;CMV Ab Titr Ser CF;MS Servoi AF;60
9513-3;104246;CMV Ab Titr Ser CF;MS Servoi Af;60
42638-7;100203;PT PPP 1:1 saline;PT;100
42638-7;100676;PT PPP 1:1 saline;PT;100
2743-3;107831;pH Amn;P man;73
2743-3;108723;pH Amn;P MS AF;62
2743-3;110779;pH Amn;P MS Na;62
2743-3;110780;pH Amn;P MS;60
2743-3;110787;pH Amn;P Na;60
2743-3;110807;pH Amn;P Na;60
2743-3;110939;pH Amn;P NO;60
48159-8;15;HCV Ab s/co SerPl IA;CO;100
48159-8;24;HCV Ab s/co SerPl IA;CO;100
48159-8;102021;HCV Ab s/co SerPl IA;CO;100
48159-8;102040;HCV Ab s/co SerPl IA;p-CO;67
48159-8;102489;HCV Ab s/co SerPl IA;CO;100
93733-4;103265;Creat 5h Ur-mRate;MS BreathRate;60
93733-4;104973;Creat 5h Ur-mRate;CRRT Temperatur;62
93733-4;104994;Creat 5h Ur-mRate;CRRT Temperatur;62
93733-4;110930;Creat 5h Ur-mRate;P Temperatur Rektal;61
38387-7;107985;C3 NeF SerPl Ql;P C3;67
38387-7;107992;C3 NeF SerPl Ql;P C3;67
38387-7;108010;C3 NeF SerPl Ql;P C3;67
38387-7;110828;C3 NeF SerPl Ql;P C3;67
38387-7;110831;C3 NeF SerPl Ql;P C3;67
6812-2;110915;DENV IgM Titr Ser;MS Servoi I E;60
4222-6;1278;Digoxin Dose;Diagnose;70
33310-4;102883;PS Ab Ser Ql;PS;100
33310-4;104717;PS Ab Ser Ql;PS;100
3695-4;108157;Insulin SerPl-mCnc;Insulin ja;82
3695-4;108158;Insulin SerPl-mCnc;Insulin nein;74
2020-6;103809;pCO2 BldC;tcpCO2;67
2020-6;117154;pCO2 BldC;SpO2 l;67
27832-5;108157;Insulin sp4 p chal SerPl-aCnc;Insulin ja;82
27832-5;108158;Insulin sp4 p chal SerPl-aCnc;Insulin nein;74
57921-9;101423;CO2 BldCoA Calc-sCnc;CO2;100
57921-9;101434;CO2 BldCoA Calc-sCnc;CO2;100
54111-0;108504;NB hear screen Pnl;P NBP reBein;60
28009-9;104249;Specimen vol Ur;MS Servoi Pmean;60
43578-4;107985;C3 Prt-mCnc;P C3;67
43578-4;107992;C3 Prt-mCnc;P C3;67
43578-4;108010;C3 Prt-mCnc;P C3;67
43578-4;108014;C3 Prt-mCnc;P MS C3 VTE;64
43578-4;108015;C3 Prt-mCnc;P MS C3 VTi;64
43578-4;108028;C3 Prt-mCnc;P MS C3;67
43578-4;108029;C3 Prt-mCnc;P MS C3 TE;67
43578-4;108030;C3 Prt-mCnc;P MS C3 TI;67
43578-4;108031;C3 Prt-mCnc;P MS C3;67
43578-4;108034;C3 Prt-mCnc;P MS C3 RC;67
