loinc_num;copra_id;loinc_long_common_name;copra_description;accuracy;is_match;id
10163-4;108153;Anamnese früherer Schwangerschaften;Alkoholgebrauch während der Schwangerschaft;62;Nein;2
10163-4;108154;Anamnese früherer Schwangerschaften;Alkoholgebrauch während der Schwangerschaft;62;Nein;3
81324-6;108153;Glucose-Toleranz über 2 Stunden in der Schwangerschaft (Liste) - Serum oder Plasma;Alkoholgebrauch während der Schwangerschaft;65;Nein;4
81324-6;108154;Glucose-Toleranz über 2 Stunden in der Schwangerschaft (Liste) - Serum oder Plasma;Alkoholgebrauch während der Schwangerschaft;65;Nein;5
90767-5;108153;Übersicht der Schwangerschaft - Dokument;Alkoholgebrauch während der Schwangerschaft;65;Nein;6
90767-5;108154;Übersicht der Schwangerschaft - Dokument;Alkoholgebrauch während der Schwangerschaft;65;Nein;7
2128-7;102744;Citrat [Masse/Volumen] in Urin;angeordnete Citratdosis;64;Nein;8
34266-7;102744;Citrat [Mol/Volumen] in Urin;angeordnete Citratdosis;64;Nein;9
4107-9;102744;Aciclovir [Masse] in Dosis;angeordnete Citratdosis;62;Nein;10
4186-3;102744;Ciprofloxacin [Masse] in Dosis;angeordnete Citratdosis;60;Nein;11
4199-6;102744;Codein [Masse] in Dosis;angeordnete Citratdosis;61;Nein;12
19840-8;101596;Atemfrequenz.spontan und mechanisch --am Beatmungsgerät;Angeordnete Ziel-Atemfrequenz für Pflege;83;Nein;13
8867-4;101596;Herzfrequenz;Angeordnete Ziel-Atemfrequenz für Pflege;62;Nein;14
9278-3;101596;Atemfrequenz spezielle Umstände;Angeordnete Ziel-Atemfrequenz für Pflege;83;Nein;15
9279-1;101596;Atemfrequenz;Angeordnete Ziel-Atemfrequenz für Pflege;100;Nein;16
8716-3;102884;Vitalparameter;Anstiegszeit (Rampenzeit) Alpha Vision;60;Nein;17
41728-7;100303;Biapenem [Empfindlichkeit];Apnea Duration;62;Nein;18
12457-8;102897;Volumen von Dialysat;appliziertes Dialysat für Multifiltrate;100;Nein;19
12514-6;102897;Bicarbonat [Mol/Volumen] in Dialysat;appliziertes Dialysat für Multifiltrate;63;Nein;20
13057-5;102897;Thrombozyten [Einheiten/Volumen] in Dialysat;appliziertes Dialysat für Multifiltrate;60;Nein;21
13494-0;102897;Volumen von 4-Stunden-Dialysat;appliziertes Dialysat für Multifiltrate;67;Nein;22
13495-7;102897;Volumen von 24-Stunden-Dialysat;appliziertes Dialysat für Multifiltrate;67;Nein;23
14390-9;102897;Amylase [Enzymaktivität/Volumen] in Dialysat;appliziertes Dialysat für Multifiltrate;68;Nein;24
14420-4;102897;Bilirubin.gesamt [Masse/Volumen] in Dialysat;appliziertes Dialysat für Multifiltrate;62;Nein;25
15051-6;102897;Creatinin [Mol/Volumen] in Dialysat;appliziertes Dialysat für Multifiltrate;62;Nein;26
15075-5;102897;Glucose [Mol/Volumen] in Dialysat;appliziertes Dialysat für Multifiltrate;67;Nein;27
15113-4;102897;Aluminium [Mol/Volumen] in Dialysat;appliziertes Dialysat für Multifiltrate;62;Nein;28
17255-1;102897;Quecksilber [Masse/Volumen] in Dialysat;appliziertes Dialysat für Multifiltrate;62;Nein;29
17582-8;102897;Silber [Masse/Volumen] in Dialysat;appliziertes Dialysat für Multifiltrate;70;Nein;30
1998-4;102897;Calcium [Mol/Volumen] in Dialysat;appliziertes Dialysat für Multifiltrate;67;Nein;31
2071-9;102897;Chlorid [Mol/Volumen] in Dialysat;appliziertes Dialysat für Multifiltrate;67;Nein;32
2343-2;102897;Glucose [Masse/Volumen] in Dialysat;appliziertes Dialysat für Multifiltrate;67;Nein;33
2595-7;102897;Magnesium [Mol/Volumen] in Dialysat;appliziertes Dialysat für Multifiltrate;62;Nein;34
2775-5;102897;Phosphat [Masse/Volumen] in Dialysat;appliziertes Dialysat für Multifiltrate;64;Nein;35
2820-9;102897;Kalium [Mol/Volumen] in Dialysat;appliziertes Dialysat für Multifiltrate;70;Nein;36
2949-6;102897;Natrium [Mol/Volumen] in Dialysat;appliziertes Dialysat für Multifiltrate;67;Nein;37
34938-1;102897;Phosphat [Mol/Volumen] in Dialysat;appliziertes Dialysat für Multifiltrate;64;Nein;38
45302-7;102897;Harnstoff [Mol/Volumen] in Dialysat;appliziertes Dialysat für Multifiltrate;62;Nein;39
46220-0;102897;Creatinin [Mol/Volumen] in Dialysat --über Nacht;appliziertes Dialysat für Multifiltrate;61;Nein;40
47842-0;102897;Sammelzeitraum von Dialysat;appliziertes Dialysat für Multifiltrate;67;Nein;41
51617-9;102897;Farbe von Dialysat;appliziertes Dialysat für Multifiltrate;73;Nein;42
53432-1;102897;Gamma-Glutamyl-Transferase [Enzymaktivität/Volumen] in Dialysat;appliziertes Dialysat für Multifiltrate;60;Nein;43
54349-6;102897;Ammoniak [Masse/Volumen] in Dialysat;appliziertes Dialysat für Multifiltrate;64;Nein;44
5572-3;102897;Aluminium [Masse/Volumen] in Dialysat;appliziertes Dialysat für Multifiltrate;62;Nein;45
57347-7;102897;Kupfer [Masse/Volumen] in Dialysat;appliziertes Dialysat für Multifiltrate;70;Nein;46
57835-1;102897;Aussehen von Dialysat;appliziertes Dialysat für Multifiltrate;64;Nein;47
5919-6;102897;Creatinin [Masse/Volumen] in Dialysat;appliziertes Dialysat für Multifiltrate;62;Nein;48
5920-4;102897;Protein [Masse/Volumen] in Dialysat;appliziertes Dialysat für Multifiltrate;67;Nein;49
5921-2;102897;Lactatdehydrogenase [Enzymaktivität/Volumen] in Dialysat;appliziertes Dialysat für Multifiltrate;60;Nein;50
82754-3;108043;Status der Reise;Arrhytmia Rhytm Status label;67;Nein;51
12961-9;1276;Harnstoff-Stickstoff [Masse/Volumen] in arteriellem Blut;arterielle Blutdruck;63;Nein;52
19218-7;1276;Sauerstoffgehalt in arteriellem Blut;arterielle Blutdruck;60;Nein;53
19230-2;1276;Bicarbonat [Mol/Volumen] Standard in arteriellem Blut;arterielle Blutdruck;61;Nein;54
1960-4;1276;Bicarbonat [Mol/Volumen] in arteriellem Blut;arterielle Blutdruck;64;Nein;55
21232-4;1276;Creatinin [Masse/Volumen] in arteriellem Blut;arterielle Blutdruck;70;Nein;56
24336-0;1276;Blutgasanalyse (Liste) - Arterielles Blut;arterielle Blutdruck;63;Nein;57
2518-9;1276;Lactat [Mol/Volumen] in arteriellem Blut;arterielle Blutdruck;74;Nein;58
2703-7;1276;Sauerstoff [Partialdruck] in arteriellem Blut;arterielle Blutdruck;68;Nein;59
2708-6;1276;Sauerstoffsättigung in arteriellem Blut;arterielle Blutdruck;62;Nein;60
2744-1;1276;pH von arteriellem Blut;arterielle Blutdruck;77;Nein;61
28646-8;1276;pH von arteriellem Nabelschnurblut;arterielle Blutdruck;64;Nein;62
2906-6;1276;Pyruvat [Masse/Volumen] in arteriellem Blut;arterielle Blutdruck;77;Nein;63
30242-2;1276;Lactat [Masse/Volumen] in arteriellem Blut;arterielle Blutdruck;74;Nein;64
30313-1;1276;Hämoglobin [Masse/Volumen] in arteriellem Blut;arterielle Blutdruck;65;Nein;65
32354-3;1276;Hämatokrit [Volumenfraktion] von arteriellem Blut;arterielle Blutdruck;70;Nein;66
32713-0;1276;Kalium [Mol/Volumen] in arteriellem Blut;arterielle Blutdruck;74;Nein;67
32717-1;1276;Natrium [Mol/Volumen] in arteriellem Blut;arterielle Blutdruck;77;Nein;68
33254-4;1276;pH von arteriellem Blut angepasst an aktuelle Körpertemperatur des Patienten oder der Patientin;arterielle Blutdruck;62;Nein;69
39481-7;1276;Glucose [Mol/Volumen] in arteriellem Blut;arterielle Blutdruck;77;Nein;70
41650-3;1276;Chlorid [Mol/Volumen] in arteriellem Blut;arterielle Blutdruck;73;Nein;71
41651-1;1276;Glucose [Masse/Volumen] in arteriellem Blut;arterielle Blutdruck;77;Nein;72
59827-6;1276;Bilirubin.gesamt [Masse/Volumen] in arteriellem Blut;arterielle Blutdruck;65;Nein;73
72927-7;1276;Harnstoff [Mol/Volumen] in arteriellem Blut;arterielle Blutdruck;70;Nein;74
75928-2;1276;Hämoglobin [Mol/Volumen] in arteriellem Blut;arterielle Blutdruck;65;Nein;75
89872-6;1276;Bilirubin.gesamt [Mol/Volumen] in arteriellem Blut;arterielle Blutdruck;65;Nein;81
12961-9;100093;Harnstoff-Stickstoff [Masse/Volumen] in arteriellem Blut;arterieller Blutdruck 1;62;Nein;82
19230-2;100093;Bicarbonat [Mol/Volumen] Standard in arteriellem Blut;arterieller Blutdruck 1;63;Nein;83
1960-4;100093;Bicarbonat [Mol/Volumen] in arteriellem Blut;arterieller Blutdruck 1;67;Nein;84
21232-4;100093;Creatinin [Masse/Volumen] in arteriellem Blut;arterieller Blutdruck 1;68;Nein;85
24336-0;100093;Blutgasanalyse (Liste) - Arterielles Blut;arterieller Blutdruck 1;62;Nein;86
2518-9;100093;Lactat [Mol/Volumen] in arteriellem Blut;arterieller Blutdruck 1;73;Nein;87
2703-7;100093;Sauerstoff [Partialdruck] in arteriellem Blut;arterieller Blutdruck 1;67;Nein;88
2708-6;100093;Sauerstoffsättigung in arteriellem Blut;arterieller Blutdruck 1;61;Nein;89
2744-1;100093;pH von arteriellem Blut;arterieller Blutdruck 1;75;Nein;90
28646-8;100093;pH von arteriellem Nabelschnurblut;arterieller Blutdruck 1;63;Nein;91
2906-6;100093;Pyruvat [Masse/Volumen] in arteriellem Blut;arterieller Blutdruck 1;76;Nein;92
30242-2;100093;Lactat [Masse/Volumen] in arteriellem Blut;arterieller Blutdruck 1;73;Nein;93
30313-1;100093;Hämoglobin [Masse/Volumen] in arteriellem Blut;arterieller Blutdruck 1;64;Nein;94
32354-3;100093;Hämatokrit [Volumenfraktion] von arteriellem Blut;arterieller Blutdruck 1;68;Nein;95
32713-0;100093;Kalium [Mol/Volumen] in arteriellem Blut;arterieller Blutdruck 1;73;Nein;96
32717-1;100093;Natrium [Mol/Volumen] in arteriellem Blut;arterieller Blutdruck 1;76;Nein;97
33254-4;100093;pH von arteriellem Blut angepasst an aktuelle Körpertemperatur des Patienten oder der Patientin;arterieller Blutdruck 1;61;Nein;98
39481-7;100093;Glucose [Mol/Volumen] in arteriellem Blut;arterieller Blutdruck 1;76;Nein;99
41650-3;100093;Chlorid [Mol/Volumen] in arteriellem Blut;arterieller Blutdruck 1;71;Nein;100
41651-1;100093;Glucose [Masse/Volumen] in arteriellem Blut;arterieller Blutdruck 1;76;Nein;101
59827-6;100093;Bilirubin.gesamt [Masse/Volumen] in arteriellem Blut;arterieller Blutdruck 1;68;Nein;102
72927-7;100093;Harnstoff [Mol/Volumen] in arteriellem Blut;arterieller Blutdruck 1;68;Nein;103
75928-2;100093;Hämoglobin [Mol/Volumen] in arteriellem Blut;arterieller Blutdruck 1;64;Nein;104
