loinc_num;copra_id;loinc_long_common_name;copra_name;accuracy;is_match;id
41726-1;106777;ABT492 [Empfindlichkeit];ABP2_Messung_Ort;60;Nein;1
26436-6;100809;Laboruntersuchungen;Anfeuchtung_Balken;60;Nein;3
18724-5;103751;HLA-Diagnostik;Assistenz_bei_Eingriffen_Diagnostik;83;Nein;4
9279-1;100813;Atemfrequenz;Atemform_Balken;60;Nein;5
30304-0;100813;Adefovir [Empfindlichkeit];Atemform_Balken;62;Nein;6
9279-1;100132;Atemfrequenz;Atemwege;60;Nein;7
16657-9;108510;Corticotropin [Masse/Volumen] in Plasma mit Radioimmunoassay --1 Stunde nach XXX Stimulation;Atmung_Stimulation;76;Nein;8
40222-2;108510;Glucose [Mol/Volumen] in Serum oder Plasma --2 Tage nach XXX Stimulation;Atmung_Stimulation;76;Nein;9
57594-4;108510;Aldosteron [Mol/Volumen] in Serum oder Plasma --30 Minuten vor XXX Stimulation;Atmung_Stimulation;76;Nein;10
12819-9;108510;Progesteron [Masse/Volumen] in Serum oder Plasma --6. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;11
40192-7;108510;Glucose [Mol/Volumen] in Serum oder Plasma --1 Tag nach XXX Stimulation;Atmung_Stimulation;76;Nein;12
12793-6;108510;Oxalat [Masse/Volumen] in Urin --5. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;13
27887-9;108510;Follitropin [Einheiten/Volumen] in Serum oder Plasma --15 Minuten nach XXX Stimulation;Atmung_Stimulation;76;Nein;14
27826-7;108510;Insulin [Einheiten/Volumen] in Serum oder Plasma --2 Stunden nach XXX Stimulation;Atmung_Stimulation;76;Nein;15
16384-0;108510;Androstendion [Masse/Volumen] in Serum oder Plasma --8. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;16
25660-2;108510;Gastrin [Mol/Volumen] in Serum oder Plasma --7. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;17
33787-3;108510;Calcitonin [Masse/Volumen] in Serum oder Plasma --10. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;18
12560-9;108510;Cortisol [Masse/Volumen] in Serum oder Plasma --5. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;19
25621-4;108510;Cortisol [Mol/Volumen] in Serum oder Plasma --3. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;20
56575-4;108510;17-Hydroxyprogesteron [Masse/Volumen] in Serum oder Plasma --15 Minuten nach XXX Stimulation;Atmung_Stimulation;76;Nein;21
27852-3;108510;Insulin [Einheiten/Volumen] in Serum oder Plasma --5 Stunden nach XXX Stimulation;Atmung_Stimulation;76;Nein;22
40194-3;108510;Glucose [Mol/Volumen] in Serum oder Plasma --20 Minuten vor XXX Stimulation;Atmung_Stimulation;76;Nein;23
33829-3;108510;Lutropin [Einheiten/Volumen] in Serum oder Plasma --9. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;24
25623-0;108510;Cortisol [Mol/Volumen] in Serum oder Plasma --5. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;25
40003-6;108510;Glucose [Masse/Volumen] in Serum oder Plasma --1,5 Stunden nach XXX Stimulation;Atmung_Stimulation;76;Nein;26
27868-9;108510;Follitropin [Einheiten/Volumen] in Serum oder Plasma --5. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;27
