loinc_num;copra_id;loinc_shortname;copra_name;accuracy;is_match;id
21112-8;104781;Birth date;AT_Air_Balken;62;Nein;1
5673-9;104781;Lead Hair-mCnt;AT_Air_Balken;60;Nein;2
8867-4;104781;Heart rate;AT_Air_Balken;62;Nein;3
2703-7;104780;pO2 BldA;AT_O2_Balken;62;Nein;4
3148-4;104780;pO2 Gas;AT_O2_Balken;67;Nein;5
32240-4;108281;Fructose Ur Ql;Aufnahme_Fruchtwasser_gruen;62;Nein;6
32240-4;108282;Fructose Ur Ql;Aufnahme_Fruchtwasser_klar;65;Nein;7
25372-4;108243;HCG Ur-aCnc;Aufnahme_Geburt_spontan;60;Nein;8
42512-4;108243;IgE Ur-aCnc;Aufnahme_Geburt_spontan;70;Nein;9
11087-4;108157;Insulin Ab Titr Ser;Aufnahme_Insulin_ja;82;Nein;10
12739-9;108157;Insulin sp2 p chal SerPl-mCnc;Aufnahme_Insulin_ja;82;Nein;11
12741-5;108157;Insulin sp4 p chal SerPl-mCnc;Aufnahme_Insulin_ja;82;Nein;12
12744-9;108157;Insulin sp7 p chal SerPl-mCnc;Aufnahme_Insulin_ja;82;Nein;13
12757-1;108157;Insulin 30M pre chal SerPl-mCnc;Aufnahme_Insulin_ja;82;Nein;14
14796-7;108157;Insulin SerPl-sCnc;Aufnahme_Insulin_ja;82;Nein;15
1570-1;108157;Insulin BS SerPl-mCnc;Aufnahme_Insulin_ja;82;Nein;16
1573-5;108157;Insulin p 12h fast SerPl-mCnc;Aufnahme_Insulin_ja;82;Nein;17
15792-5;108157;Insulin Bovine IgE RAST Ql;Aufnahme_Insulin_ja;82;Nein;18
15793-3;108157;Insulin Human IgE RAST Ql;Aufnahme_Insulin_ja;82;Nein;19
15794-1;108157;Insulin Porcine IgE RAST Ql;Aufnahme_Insulin_ja;82;Nein;20
18234-5;108157;Insulin Usub Ql;Aufnahme_Insulin_ja;82;Nein;21
20448-7;108157;Insulin SerPl-aCnc;Aufnahme_Insulin_ja;82;Nein;22
2481-0;108157;Insulin Ab Ser Ql;Aufnahme_Insulin_ja;82;Nein;23
2482-8;108157;Insulin Ab Ser-mCnc;Aufnahme_Insulin_ja;82;Nein;24
25447-4;108157;Insulin Free SerPl-sCnc;Aufnahme_Insulin_ja;82;Nein;25
25686-7;108157;Insulin sp11 p chal SerPl-sCnc;Aufnahme_Insulin_ja;82;Nein;26
25690-9;108157;Insulin sp15 p chal SerPl-sCnc;Aufnahme_Insulin_ja;82;Nein;27
25697-4;108157;Insulin sp7 p chal SerPl-sCnc;Aufnahme_Insulin_ja;82;Nein;28
27826-7;108157;Insulin 2h p chal SerPl-aCnc;Aufnahme_Insulin_ja;82;Nein;29
